tree_order,cell_name,parent,founder_lineage,generation_from_founder,depth_from_P0,is_terminal,x_position,birth_time_min,end_time_min,branch_duration_min,apop_fate,ignore_apoptosis_fate
565,ABplapapppp,ABplapappp,AB,9,10,False,281.25,235.0,269.0,34.0,Unspecified,Neuron
566,ABplapappppa,ABplapapppp,AB,10,11,False,280.5,269.0,307.0,38.0,Neuron,Neuron
567,ABplapappppaa,ABplapappppa,AB,11,12,True,280.0,307.0,335.0,28.0,Neuron,Neuron
568,ABplapappppap,ABplapappppa,AB,11,12,True,281.0,307.0,335.0,28.0,Neuron,Neuron
569,ABplapappppp,ABplapapppp,AB,10,11,True,282.0,269.0,297.0,28.0,Death,Not annotated
570,ABplapp,ABplap,AB,5,6,False,287.53125,132.0,154.0,22.0,Unspecified,Unspecified
571,ABplappa,ABplapp,AB,6,7,False,284.5,154.0,178.0,24.0,Skin,Skin
572,ABplappaa,ABplappa,AB,7,8,False,283.5,178.0,205.0,27.0,Skin,Skin
573,ABplappaaa,ABplappaa,AB,8,9,True,283.0,205.0,233.0,28.0,Skin,Skin
574,ABplappaap,ABplappaa,AB,8,9,True,284.0,205.0,233.0,28.0,Skin,Skin
575,ABplappap,ABplappa,AB,7,8,False,285.5,178.0,205.0,27.0,Skin,Skin
576,ABplappapa,ABplappap,AB,8,9,True,285.0,205.0,233.0,28.0,Skin,Skin
577,ABplappapp,ABplappap,AB,8,9,True,286.0,205.0,233.0,28.0,Skin,Skin
578,ABplappp,ABplapp,AB,6,7,False,290.5625,154.0,178.0,24.0,Unspecified,Unspecified
579,ABplapppa,ABplappp,AB,7,8,False,288.625,178.0,205.0,27.0,Unspecified,Neuron
580,ABplapppaa,ABplapppa,AB,8,9,False,287.5,205.0,235.0,30.0,Unspecified,Neuron
581,ABplapppaaa,ABplapppaa,AB,9,10,True,287.0,235.0,263.0,28.0,Neuron,Neuron
582,ABplapppaap,ABplapppaa,AB,9,10,True,288.0,235.0,263.0,28.0,Death,Not annotated
583,ABplapppap,ABplapppa,AB,8,9,False,289.75,205.0,235.0,30.0,Unspecified,Neuron
584,ABplapppapa,ABplapppap,AB,9,10,True,289.0,235.0,263.0,28.0,Death,Not annotated
585,ABplapppapp,ABplapppap,AB,9,10,False,290.5,235.0,269.0,34.0,Neuron,Neuron
586,ABplapppappa,ABplapppapp,AB,10,11,True,290.0,269.0,297.0,28.0,Neuron,Neuron
587,ABplapppappp,ABplapppapp,AB,10,11,True,291.0,269.0,297.0,28.0,Neuron,Neuron
588,ABplapppp,ABplappp,AB,7,8,False,292.5,178.0,205.0,27.0,Skin,Skin
589,ABplappppa,ABplapppp,AB,8,9,True,292.0,205.0,233.0,28.0,Skin,Skin
590,ABplappppp,ABplapppp,AB,8,9,True,293.0,205.0,233.0,28.0,Skin,Skin
591,ABplp,ABpl,AB,3,4,False,327.0390625,93.0,112.0,19.0,Unspecified,Unspecified
592,ABplpa,ABplp,AB,4,5,False,310.65625,112.0,132.0,20.0,Unspecified,Unspecified
593,ABplpaa,ABplpa,AB,5,6,False,302.125,132.0,154.0,22.0,Unspecified,Unspecified
594,ABplpaaa,ABplpaa,AB,6,7,False,297.6875,154.0,178.0,24.0,Unspecified,Unspecified
